state,district,year,rape,kidnapping
JHARKHAND,JAMTARA,2007,22,19
KARNATAKA,BELGAUM,2007,22,28
KERALA,"ERNAKULAM RURAL",2007,22,6
MAHARASHTRA,AKOLA,2007,22,15
MAHARASHTRA,PARBHANI,2007,22,9
PUNJAB,KAPURTHALA,2007,22,10
PUNJAB,PATIALA,2007,22,14
"UTTAR PRADESH",FATEHPUR,2007,22,38
CHANDIGARH,CHANDIGARH,2007,22,46
CHANDIGARH,TOTAL,2007,22,46
DELHI,CENTRAL,2007,22,45
BIHAR,SAHARSA,2008,22,20
HARYANA,JHAJJAR,2008,22,15
"HIMACHAL PRADESH",SHIMLA,2008,22,19
MAHARASHTRA,"AMRAVATI COMMR.",2008,22,9
MAHARASHTRA,GADCHIROLI,2008,22,11
MAHARASHTRA,LATUR,2008,22,29
MAHARASHTRA,OSMANABAD,2008,22,19
RAJASTHAN,TONK,2008,22,46
"TAMIL NADU","SALEM URBAN",2008,22,27
"UTTAR PRADESH","CHITRAKOOT DHAM",2008,22,5
"UTTAR PRADESH","GAUTAMBUDH NAGAR",2008,22,49
UTTARAKHAND,"UDHAMSINGH NAGAR",2008,22,64
"ANDHRA PRADESH",ANANTAPUR,2009,22,60
BIHAR,BETTIAH,2009,22,76
CHHATTISGARH,KANKER,2009,22,4
"HIMACHAL PRADESH",MANDI,2009,22,11
"JAMMU & KASHMIR",RAJOURI,2009,22,33
KARNATAKA,HASSAN,2009,22,15
KERALA,WAYANADU,2009,22,5
MAHARASHTRA,"AURANGABAD COMMR.",2009,22,17
MAHARASHTRA,JALNA,2009,22,17
MAHARASHTRA,"SOLAPUR COMMR.",2009,22,6
NAGALAND,TOTAL,2009,22,10
"UTTAR PRADESH",FAIZABAD,2009,22,69
"UTTAR PRADESH",HATHRAS,2009,22,52
"UTTAR PRADESH",PRATAPGARH,2009,22,73
BIHAR,BHAGALPUR,2010,22,80
BIHAR,GAYA,2010,22,82
"HIMACHAL PRADESH",KANGRA,2010,22,33
"MADHYA PRADESH",BURHANPUR,2010,22,2
ODISHA,PURI,2010,22,40
PUNJAB,"CP JALANDHAR",2010,22,40
PUNJAB,MANSA,2010,22,9
RAJASTHAN,DHOLPUR,2010,22,53
"UTTAR PRADESH",BADAUN,2010,22,69
"UTTAR PRADESH",BANDA,2010,22,34
"UTTAR PRADESH",BARABANKI,2010,22,90
UTTARAKHAND,"UDHAMSINGH NAGAR",2010,22,69
"HIMACHAL PRADESH",SHIMLA,2011,22,24
JHARKHAND,HAZARIBAGH,2011,22,52
"MADHYA PRADESH",UMARIYA,2011,22,4
MAHARASHTRA,"AMRAVATI COMMR.",2011,22,19
MAHARASHTRA,"SOLAPUR COMMR.",2011,22,18
RAJASTHAN,JALORE,2011,22,47
"TAMIL NADU",THENI,2011,22,79
"UTTAR PRADESH",GHAZIABAD,2011,22,219
"UTTAR PRADESH","KANSHIRAM NAGAR",2011,22,47
"ANDHRA PRADESH",KURNOOL,2012,22,46
BIHAR,AURANGABAD,2012,22,58
BIHAR,MOTIHARI,2012,22,198
CHHATTISGARH,BALOD,2012,22,6
CHHATTISGARH,KABIRDHAM,2012,22,14
GUJARAT,JAMNAGAR,2012,22,37
"HIMACHAL PRADESH",KULLU,2012,22,5
JHARKHAND,GODDA,2012,22,42
"MADHYA PRADESH",ALIRAJPUR,2012,22,12
"MADHYA PRADESH",UMARIYA,2012,22,2
PUNJAB,MANSA,2012,22,10
PUNJAB,ROPAR,2012,22,18
"TAMIL NADU",THENI,2012,22,40
"UTTAR PRADESH",BANDA,2012,22,48
"UTTAR PRADESH",ETAH,2012,22,99
"UTTAR PRADESH",SHRAWASTI,2012,22,40
"UTTAR PRADESH",SIDHARTHNAGAR,2012,22,47
"ANDHRA PRADESH",NIZAMABAD,2001,21,21
ASSAM,KAMRUP,2001,21,65
HARYANA,JHAJJAR,2001,21,8
HARYANA,JIND,2001,21,8
KERALA,ALAPUZHA,2001,21,6
"MADHYA PRADESH",SHEOPUR,2001,21,3
PUNJAB,JALANDHAR,2001,21,49
RAJASTHAN,KARAULI,2001,21,50
"TAMIL NADU",KANCHIPURAM,2001,21,9
"UTTAR PRADESH","KANPUR DEHAT",2001,21,34
"ANDHRA PRADESH",PRAKASHAM,2002,21,25
ASSAM,BONGAIGAON,2002,21,40
KERALA,KANNUR,2002,21,8
ODISHA,SUNDARGARH,2002,21,11
RAJASTHAN,DUNGARPUR,2002,21,40
RAJASTHAN,KARAULI,2002,21,31
RAJASTHAN,"SAWAI MADHOPUR",2002,21,37
BIHAR,BAGAHA,2003,21,10
BIHAR,NALANDA,2003,21,18
"HIMACHAL PRADESH",SHIMLA,2003,21,16
MAHARASHTRA,LATUR,2003,21,15
ODISHA,SUNDARGARH,2003,21,6
RAJASTHAN,"SAWAI MADHOPUR",2003,21,27
"TAMIL NADU",THOOTHUGUDI,2003,21,22
"UTTAR PRADESH",ALLAHABAD,2003,21,19
"UTTAR PRADESH",HATHRAS,2003,21,23
"UTTAR PRADESH",PILIBHIT,2003,21,20
BIHAR,SAHARSA,2004,21,21
GUJARAT,PALANPUR,2004,21,36
HARYANA,KURUKSHETRA,2004,21,5
KERALA,"ERNAKULAM RURAL",2004,21,5
"MADHYA PRADESH",SHEOPUR,2004,21,3
PUNJAB,SANGRUR,2004,21,10
"UTTAR PRADESH",BANDA,2004,21,8
UTTARAKHAND,DEHRADUN,2004,21,22
"WEST BENGAL",DARJEELING,2004,21,17
"WEST BENGAL",HOWRAH,2004,21,11
"ANDHRA PRADESH",CUDDAPAH,2005,21,31
"ANDHRA PRADESH",KHAMMAM,2005,21,40
ASSAM,UDALGURI,2005,21,15
GUJARAT,"VADODARA RURAL",2005,21,36
"JAMMU & KASHMIR",RAJOURI,2005,21,23
"MADHYA PRADESH",SHEOPUR,2005,21,1
MAHARASHTRA,AKOLA,2005,21,22
MAHARASHTRA,"NASIK COMMR.",2005,21,13
ODISHA,BARAGARH,2005,21,12
RAJASTHAN,SIKAR,2005,21,44
UTTARAKHAND,"UDHAMSINGH NAGAR",2005,21,1
"ANDHRA PRADESH","VIJAYAWADA CITY",2006,21,60
"ANDHRA PRADESH",VISAKHAPATNAM,2006,21,40
GOA,TOTAL,2006,21,10
GUJARAT,"RAJKOT RURAL",2006,21,33
HARYANA,REWARI,2006,21,9
"JAMMU & KASHMIR",JAMMU,2006,21,52
"JAMMU & KASHMIR",POONCH,2006,21,20
JHARKHAND,JAMTARA,2006,21,12
JHARKHAND,KODERMA,2006,21,10
JHARKHAND,LOHARDAGGA,2006,21,10
"MADHYA PRADESH",BURHANPUR,2006,21,4
"MADHYA PRADESH",UMARIYA,2006,21,0
MAHARASHTRA,"AMRAVATI COMMR.",2006,21,15
MAHARASHTRA,NANDURBAR,2006,21,6
RAJASTHAN,"JAIPUR SOUTH",2006,21,38
"TAMIL NADU",CUDDALORE,2006,21,33
"TAMIL NADU","SALEM RURAL",2006,21,41
"UTTAR PRADESH",BAHRAICH,2006,21,33
"UTTAR PRADESH",BARABANKI,2006,21,49
"UTTAR PRADESH",J.P.NAGAR,2006,21,23
"UTTAR PRADESH",MAHARAJGANJ,2006,21,19
"UTTAR PRADESH",RAIBAREILLY,2006,21,35
"UTTAR PRADESH",SHAHJAHANPUR,2006,21,37
"ANDHRA PRADESH","RANGA REDDY",2007,21,10
BIHAR,KHAGARIA,2007,21,14
HARYANA,HISSAR,2007,21,31
HARYANA,KURUKSHETRA,2007,21,13
JHARKHAND,SIMDEGA,2007,21,20
ODISHA,NAYAGARH,2007,21,27
PUNJAB,AMRITSAR,2007,21,46
RAJASTHAN,"SAWAI MADHOPUR",2007,21,36
"UTTAR PRADESH",FATEHGARH,2007,21,41
BIHAR,ROHTAS,2008,21,55
GUJARAT,SURENDRANAGAR,2008,21,38
HARYANA,MAHENDRAGARH,2008,21,20
"JAMMU & KASHMIR",RAJOURI,2008,21,27
JHARKHAND,GARHWA,2008,21,16
MAHARASHTRA,"AURANGABAD COMMR.",2008,21,30
MAHARASHTRA,"AURANGABAD RURAL",2008,21,7
RAJASTHAN,DAUSA,2008,21,48
RAJASTHAN,DHOLPUR,2008,21,46
"TAMIL NADU",CHENNAISUBURBAN,2008,21,24
"TAMIL NADU",ERODE,2008,21,45
"TAMIL NADU",VELLORE,2008,21,52
"ANDHRA PRADESH",SRIKAKULAM,2009,21,20
"JAMMU & KASHMIR",SRINAGAR,2009,21,106
JHARKHAND,JAMTARA,2009,21,0
KARNATAKA,"MYSORE RURAL",2009,21,9
KARNATAKA,RAICHUR,2009,21,18
MAHARASHTRA,AKOLA,2009,21,26
MAHARASHTRA,RAIGAD,2009,21,3
PUNJAB,BATALA,2009,21,10
PUNJAB,KAPURTHALA,2009,21,14
"TAMIL NADU",ARIYALUR,2009,21,15
UTTARAKHAND,"UDHAMSINGH NAGAR",2009,21,58
HARYANA,FATEHABAD,2010,21,31
"HIMACHAL PRADESH",SHIMLA,2010,21,22
"JAMMU & KASHMIR",DODA,2010,21,57
JHARKHAND,GARHWA,2010,21,23
"TAMIL NADU","SALEM URBAN",2010,21,38
"UTTAR PRADESH",SONBHADRA,2010,21,20
BIHAR,BETTIAH,2011,21,81
CHHATTISGARH,GARIYABAND,2011,21,1
GUJARAT,JAMNAGAR,2011,21,51
HARYANA,SIRSA,2011,21,49
MANIPUR,THOUBAL,2011,21,28
ODISHA,BARAGARH,2011,21,11
ODISHA,PURI,2011,21,27
PUNJAB,FAZILKA,2011,21,17
RAJASTHAN,BARMER,2011,21,34
"TAMIL NADU","MADURAI RURAL",2011,21,88
TRIPURA,DHALAI,2011,21,9
"UTTAR PRADESH","RAMABAI NAGAR",2011,21,83
"UTTAR PRADESH",SAHARANPUR,2011,21,82
"UTTAR PRADESH",SULTANPUR,2011,21,46
BIHAR,BUXAR,2012,21,70
CHHATTISGARH,DHAMTARI,2012,21,2
HARYANA,"AMBALA URBAN",2012,21,39
KARNATAKA,HASSAN,2012,21,19
MAHARASHTRA,LATUR,2012,21,32
MAHARASHTRA,RAIGAD,2012,21,3
NAGALAND,TOTAL,2012,21,10
ODISHA,JHARSUGUDA,2012,21,6
PUNJAB,"SBS NAGAR",2012,21,13
RAJASTHAN,BARMER,2012,21,35
"TAMIL NADU",THIRUVANNAMALAI,2012,21,52
"UTTAR PRADESH",SONBHADRA,2012,21,28
"UTTAR PRADESH",VARANASI,2012,21,85
"WEST BENGAL",JHARGRAM,2012,21,21
"WEST BENGAL",SILIGURI_PC,2012,21,111
"ANDHRA PRADESH",CUDDAPAH,2001,20,20
ASSAM,BONGAIGAON,2001,20,21
BIHAR,BETTIAH,2001,20,23
BIHAR,SARAN,2001,20,15
BIHAR,VAISHALI,2001,20,28
GUJARAT,JAMNAGAR,2001,20,22
GUJARAT,"RAJKOT RURAL",2001,20,35
JHARKHAND,SAHEBGANJ,2001,20,5
KARNATAKA,GULBARGA,2001,20,21
KARNATAKA,HASSAN,2001,20,0
"MADHYA PRADESH",DINDORI,2001,20,2
MAHARASHTRA,HINGOLI,2001,20,8
MAHARASHTRA,RAIGAD,2001,20,1
MANIPUR,TOTAL,2001,20,62
RAJASTHAN,JODHPUR,2001,20,53
"TAMIL NADU",CHENGAI,2001,20,8
"UTTAR PRADESH",ETAWAH,2001,20,22
"UTTAR PRADESH",LALITPUR,2001,20,5
"WEST BENGAL",DARJEELING,2001,20,20
BIHAR,BEGUSARAI,2002,20,15
BIHAR,KISHANGANJ,2002,20,26
CHHATTISGARH,KABIRDHAM,2002,20,0
HARYANA,SIRSA,2002,20,3
"MADHYA PRADESH",UMARIYA,2002,20,1
PUNJAB,JALANDHAR,2002,20,38
"TAMIL NADU",DHARMAPURI,2002,20,23
"TAMIL NADU",KANCHIPURAM,2002,20,0
"UTTAR PRADESH",BANDA,2002,20,6
"UTTAR PRADESH",GHAZIABAD,2002,20,69
"UTTAR PRADESH",RAMPUR,2002,20,38
"WEST BENGAL","DAKSHIN DINAJPUR",2002,20,24
"WEST BENGAL","UTTAR DINAJPUR",2002,20,14
BIHAR,SAMASTIPUR,2003,20,8
GUJARAT,PALANPUR,2003,20,39
"JAMMU & KASHMIR",JAMMU,2003,20,50
KERALA,WAYANADU,2003,20,0
"MADHYA PRADESH",UMARIYA,2003,20,0
ODISHA,ANGUL,2003,20,9
RAJASTHAN,DHOLPUR,2003,20,27
"TAMIL NADU",VELLORE,2003,20,23
"UTTAR PRADESH",BIJNOR,2003,20,23
"UTTAR PRADESH",RAIBAREILLY,2003,20,25
DELHI,CENTRAL,2003,20,40
"ANDHRA PRADESH",ANANTAPUR,2004,20,31
BIHAR,BHABHUA,2004,20,13
HARYANA,MAHENDRAGARH,2004,20,11
"HIMACHAL PRADESH",SOLAN,2004,20,8
"JAMMU & KASHMIR",KUPWARA,2004,20,40
MAHARASHTRA,NANDURBAR,2004,20,8
MIZORAM,TOTAL,2004,20,0
PUNJAB,JAGRAON,2004,20,18
PUNJAB,PATIALA,2004,20,32
RAJASTHAN,BANSWARA,2004,20,51
"UTTAR PRADESH","GAUTAMBUDH NAGAR",2004,20,26
"UTTAR PRADESH","KANPUR NAGAR",2004,20,83
BIHAR,BEGUSARAI,2005,20,20
GOA,TOTAL,2005,20,12
"JAMMU & KASHMIR",JAMMU,2005,20,40
JHARKHAND,SIMDEGA,2005,20,6
KARNATAKA,KOLAR,2005,20,24
MAHARASHTRA,JALNA,2005,20,8
MAHARASHTRA,"SOLAPUR COMMR.",2005,20,4
ODISHA,JAJPUR,2005,20,39
ODISHA,KANDHAMAL,2005,20,20
"WEST BENGAL","HOWRAH CITY",2005,20,12
DELHI,CENTRAL,2005,20,32
BIHAR,NAWADAH,2006,20,15
MANIPUR,CHURACHANDPUR,2006,20,0
ODISHA,ROURKELA,2006,20,14
RAJASTHAN,"SAWAI MADHOPUR",2006,20,35
RAJASTHAN,SIROHI,2006,20,25
SIKKIM,TOTAL,2006,20,7
GOA,TOTAL,2007,20,7
"HIMACHAL PRADESH",KANGRA,2007,20,19
KARNATAKA,"MYSORE RURAL",2007,20,4
KERALA,"TRIVANDRUM COMMR.",2007,20,16
"MADHYA PRADESH",NEEMUCH,2007,20,5
MANIPUR,TOTAL,2007,20,83
PUNJAB,MANSA,2007,20,3
RAJASTHAN,DHOLPUR,2007,20,41
"TAMIL NADU",ERODE,2007,20,62
"UTTAR PRADESH",VARANASI,2007,20,38
BIHAR,MUNGER,2008,20,31
"JAMMU & KASHMIR",DODA,2008,20,21
JHARKHAND,JAMTARA,2008,20,3
KARNATAKA,KODAGU,2008,20,5
KERALA,"TRIVANDRUM COMMR.",2008,20,6
"MADHYA PRADESH",DINDORI,2008,20,1
MAHARASHTRA,WASHIM,2008,20,18
PUNJAB,BATALA,2008,20,13
PUNJAB,BHATINDA,2008,20,28
PUNJAB,"SAS NGR",2008,20,18
RAJASTHAN,BARMER,2008,20,21
RAJASTHAN,"JAIPUR EAST",2008,20,61
SIKKIM,TOTAL,2008,20,4
"TAMIL NADU",KRISHNAGIRI,2008,20,36
"TAMIL NADU",THIRUVANNAMALAI,2008,20,34
"UTTAR PRADESH",ETAH,2008,20,66
"UTTAR PRADESH",J.P.NAGAR,2008,20,34
UTTARAKHAND,DEHRADUN,2008,20,65
"WEST BENGAL",ASANSOL,2008,20,12
CHANDIGARH,CHANDIGARH,2008,20,42
CHANDIGARH,TOTAL,2008,20,42
DELHI,NORTH,2008,20,61
BIHAR,GAYA,2009,20,66
CHHATTISGARH,KABIRDHAM,2009,20,0
HARYANA,JHAJJAR,2009,20,15
"HIMACHAL PRADESH",CHAMBA,2009,20,15
JHARKHAND,LOHARDAGGA,2009,20,5
KERALA,"ERNAKULAM COMMR.",2009,20,5
"MADHYA PRADESH",DATIYA,2009,20,17
MAHARASHTRA,OSMANABAD,2009,20,16
MEGHALAYA,"KHASI HILLS WEST",2009,20,0
ODISHA,SUNDARGARH,2009,20,13
PUNJAB,MUKTSAR,2009,20,8
RAJASTHAN,TONK,2009,20,42
"TAMIL NADU",CUDDALORE,2009,20,34
"TAMIL NADU","SALEM URBAN",2009,20,19
"TAMIL NADU",THOOTHUGUDI,2009,20,30
"UTTAR PRADESH","CHITRAKOOT DHAM",2009,20,10
"UTTAR PRADESH",MATHURA,2009,20,59
"ANDHRA PRADESH",ANANTAPUR,2010,20,60
BIHAR,BEGUSARAI,2010,20,45
BIHAR,JAMUI,2010,20,29
"JAMMU & KASHMIR",POONCH,2010,20,34
KARNATAKA,KODAGU,2010,20,7
KERALA,"ERNAKULAM COMMR.",2010,20,5
MAHARASHTRA,"AMRAVATI COMMR.",2010,20,28
MAHARASHTRA,NANDURBAR,2010,20,12
MAHARASHTRA,PARBHANI,2010,20,21
MIZORAM,CHAMPHAI,2010,20,0
ODISHA,NAYAGARH,2010,20,20
PUNJAB,"TARN TARAN",2010,20,18
RAJASTHAN,SIROHI,2010,20,27
"TAMIL NADU",ARIYALUR,2010,20,24
"TAMIL NADU",KRISHNAGIRI,2010,20,53
"TAMIL NADU",VIRUDHUNAGAR,2010,20,58
"UTTAR PRADESH","AMBEDKAR NAGAR",2010,20,56
"UTTAR PRADESH",HARDOI,2010,20,73
DELHI,CENTRAL,2010,20,62
BIHAR,ROHTAS,2011,20,84
HARYANA,KAITHAL,2011,20,17
"HIMACHAL PRADESH",KULLU,2011,20,12
MAHARASHTRA,GADCHIROLI,2011,20,3
MAHARASHTRA,NANDURBAR,2011,20,15
PUNJAB,"CP AMRITSAR",2011,20,34
PUNJAB,FEROZPUR,2011,20,25
RAJASTHAN,"JAIPUR NORTH",2011,20,38
"UTTAR PRADESH","CHITRAKOOT DHAM",2011,20,22
"UTTAR PRADESH","CSM NAGAR",2011,20,96
BIHAR,GOPALGANJ,2012,20,89
BIHAR,SITAMARHI,2012,20,143
BIHAR,SIWAN,2012,20,166
BIHAR,SUPAUL,2012,20,90
BIHAR,VAISHALI,2012,20,171
GUJARAT,GANDHINAGAR,2012,20,26
GUJARAT,"RAJKOT RURAL",2012,20,58
HARYANA,JHAJJAR,2012,20,17
"JAMMU & KASHMIR",KATHUA,2012,20,34
MAHARASHTRA,"AMRAVATI COMMR.",2012,20,16
MAHARASHTRA,"NASIK COMMR.",2012,20,13
MANIPUR,THOUBAL,2012,20,37
RAJASTHAN,"JODHPUR EAST",2012,20,13
RAJASTHAN,"JODHPUR WEST",2012,20,23
"TAMIL NADU","COIMBATORE URBAN",2012,20,12
"ANDHRA PRADESH",PRAKASHAM,2001,19,12
BIHAR,DARBHANGA,2001,19,16
BIHAR,SAMASTIPUR,2001,19,29
CHHATTISGARH,DANTEWARA,2001,19,8
MAHARASHTRA,JALGAON,2001,19,12
ODISHA,BARAGARH,2001,19,8
ODISHA,BOLANGIR,2001,19,16
PUNJAB,HOSHIARPUR,2001,19,13
PUNJAB,JAGRAON,2001,19,11
RAJASTHAN,JHUNJHUNU,2001,19,25
RAJASTHAN,"SAWAI MADHOPUR",2001,19,42
"UTTAR PRADESH","AMBEDKAR NAGAR",2001,19,29
"WEST BENGAL",KOLKATA,2001,19,78
HARYANA,JIND,2002,19,9
MAHARASHTRA,PARBHANI,2002,19,7
MEGHALAYA,"KHASI HILLS EAST",2002,19,4
PUNJAB,HOSHIARPUR,2002,19,10
"UTTAR PRADESH","GAUTAMBUDH NAGAR",2002,19,29
"WEST BENGAL",BANKURA,2002,19,11
"ANDHRA PRADESH",ANANTAPUR,2003,19,45
BIHAR,BANKA,2003,19,14
BIHAR,BEGUSARAI,2003,19,28
JHARKHAND,SIMDEGA,2003,19,11
KARNATAKA,CHITRADURGA,2003,19,7
"MADHYA PRADESH",SHEOPUR,2003,19,1
PUNJAB,SANGRUR,2003,19,14
"TAMIL NADU",CUDDALORE,2003,19,10
"ANDHRA PRADESH",PRAKASHAM,2004,19,37
"ANDHRA PRADESH",VIJAYAWADA,2004,19,43
BIHAR,GAYA,2004,19,30
"JAMMU & KASHMIR",JAMMU,2004,19,54
MAHARASHTRA,RAIGAD,2004,19,6
MAHARASHTRA,"SOLAPUR COMMR.",2004,19,7
MAHARASHTRA,WASHIM,2004,19,16
ODISHA,DHENKANAL,2004,19,17
ODISHA,JAGATSINGHPUR,2004,19,18
ODISHA,KENDRAPARA,2004,19,7
ODISHA,MALKANGIR,2004,19,2
ODISHA,RAYAGADA,2004,19,0
RAJASTHAN,JODHPUR,2004,19,53
"UTTAR PRADESH",JAUNPUR,2004,19,17
CHANDIGARH,CHANDIGARH,2004,19,43
CHANDIGARH,TOTAL,2004,19,43
HARYANA,AMBALA,2005,19,19
HARYANA,KAITHAL,2005,19,9
"HIMACHAL PRADESH",KULLU,2005,19,24
MAHARASHTRA,NANDURBAR,2005,19,2
MAHARASHTRA,"NAVI MUMBAI",2005,19,7
ODISHA,JHARSUGUDA,2005,19,5
PUNJAB,PATIALA,2005,19,20
PUNJAB,"TARN TARAN",2005,19,5
RAJASTHAN,BARMER,2005,19,20
"TAMIL NADU",PERAMBALUR,2005,19,16
"TAMIL NADU","TRICHY RURAL",2005,19,50
"TAMIL NADU",VIRUDHUNAGAR,2005,19,50
GUJARAT,KUTCH,2006,19,41
HARYANA,AMBALA,2006,19,16
KARNATAKA,MANDYA,2006,19,13
KERALA,"KOZHIKODE COMMR.",2006,19,8
"MADHYA PRADESH",SHEOPUR,2006,19,4
MAHARASHTRA,JALNA,2006,19,6
MEGHALAYA,"JAINTIA HILLS",2006,19,0
ODISHA,PURI,2006,19,29
PUNJAB,BHATINDA,2006,19,22
RAJASTHAN,"JAIPUR EAST",2006,19,51
RAJASTHAN,"JODHPUR RURAL",2006,19,15
RAJASTHAN,"KOTA RURAL",2006,19,19
"WEST BENGAL",ASANSOL,2006,19,12
CHANDIGARH,CHANDIGARH,2006,19,57
CHANDIGARH,TOTAL,2006,19,57
GUJARAT,PALANPUR,2007,19,51
HARYANA,JIND,2007,19,18
KARNATAKA,KOLAR,2007,19,24
KARNATAKA,RAICHUR,2007,19,20
KERALA,KASARGOD,2007,19,0
KERALA,PATHANAMTHITTA,2007,19,18
MAHARASHTRA,BHANDARA,2007,19,4
RAJASTHAN,BARMER,2007,19,24
RAJASTHAN,TONK,2007,19,50
"TAMIL NADU",THOOTHUGUDI,2007,19,29
"UTTAR PRADESH",GORAKHPUR,2007,19,51
ASSAM,KARIMGANJ,2008,19,44
GUJARAT,PATAN,2008,19,24
"HIMACHAL PRADESH",KANGRA,2008,19,15
KARNATAKA,BIJAPUR,2008,19,17
KARNATAKA,RAICHUR,2008,19,21
"MADHYA PRADESH",NEEMUCH,2008,19,3
NAGALAND,TOTAL,2008,19,7
ODISHA,RAYAGADA,2008,19,10
PUNJAB,MOGA,2008,19,17
RAJASTHAN,"JODHPUR CITY",2008,19,35
"TAMIL NADU",NAMAKKAL,2008,19,37
"UTTAR PRADESH",BAGHPAT,2008,19,43
"UTTAR PRADESH",ETAWAH,2008,19,64
"UTTAR PRADESH",JAUNPUR,2008,19,41
"UTTAR PRADESH","KANSHIRAM NAGAR",2008,19,29
"UTTAR PRADESH",MAU,2008,19,44
"UTTAR PRADESH",MIRZAPUR,2008,19,19
BIHAR,AURANGABAD,2009,19,53
BIHAR,MADHUBANI,2009,19,78
GUJARAT,PATAN,2009,19,20
HARYANA,REWARI,2009,19,29
KARNATAKA,BIJAPUR,2009,19,23
KARNATAKA,TUMKUR,2009,19,6
"MADHYA PRADESH",HARDA,2009,19,4
MAHARASHTRA,"NAVI MUMBAI",2009,19,10
RAJASTHAN,JALORE,2009,19,26
"UTTAR PRADESH","AMBEDKAR NAGAR",2009,19,49
"UTTAR PRADESH",BARABANKI,2009,19,106
DELHI,NORTH,2009,19,81
"ANDHRA PRADESH","RANGA REDDY",2010,19,19
ASSAM,"KARBI ANGLONG",2010,19,27
BIHAR,SIWAN,2010,19,105
BIHAR,SUPAUL,2010,19,38
CHHATTISGARH,KABIRDHAM,2010,19,7
GUJARAT,JUNAGADH,2010,19,63
"HIMACHAL PRADESH",MANDI,2010,19,15
KARNATAKA,CHICKMAGALUR,2010,19,21
ODISHA,DHENKANAL,2010,19,34
GUJARAT,SURENDRANAGAR,2011,19,41
KARNATAKA,"MYSORE RURAL",2011,19,39
KARNATAKA,RAMANAGAR,2011,19,45
ODISHA,"DCP CTC",2011,19,25
"TAMIL NADU",KANCHIPURAM,2011,19,22
"TAMIL NADU",VIRUDHUNAGAR,2011,19,49
"UTTAR PRADESH",ETAH,2011,19,61
"UTTAR PRADESH",JHANSI,2011,19,92
"UTTAR PRADESH",MAU,2011,19,60
"UTTAR PRADESH",MUZAFFARNAGAR,2011,19,179
"UTTAR PRADESH",SONBHADRA,2011,19,21
CHHATTISGARH,GARIYABAND,2012,19,2
GUJARAT,SURENDRANAGAR,2012,19,46
"JAMMU & KASHMIR",SRINAGAR,2012,19,89
KARNATAKA,RAICHUR,2012,19,25
MAHARASHTRA,AKOLA,2012,19,19
MAHARASHTRA,NANDURBAR,2012,19,8
RAJASTHAN,"SAWAI MADHOPUR",2012,19,75
RAJASTHAN,TONK,2012,19,66
"TAMIL NADU",KANCHIPURAM,2012,19,17
"UTTAR PRADESH",AZAMGARH,2012,19,101
"UTTAR PRADESH","GAUTAMBUDH NAGAR",2012,19,115
"UTTAR PRADESH",JHANSI,2012,19,63
GUJARAT,PALANPUR,2001,18,35
GUJARAT,"VADODARA RURAL",2001,18,34
"HIMACHAL PRADESH",KANGRA,2001,18,21
"HIMACHAL PRADESH",SHIMLA,2001,18,11
JHARKHAND,JAMTARA,2001,18,11
KARNATAKA,CHITRADURGA,2001,18,0
ODISHA,SAMBALPUR,2001,18,9
"TAMIL NADU","COIMBATORE RURAL",2001,18,27
"UTTAR PRADESH",BALLIA,2001,18,17
"UTTAR PRADESH",BASTI,2001,18,23
"UTTAR PRADESH",GONDA,2001,18,21
"UTTAR PRADESH",JHANSI,2001,18,20
"UTTAR PRADESH",PRATAPGARH,2001,18,35
CHANDIGARH,CHANDIGARH,2001,18,50
CHANDIGARH,TOTAL,2001,18,50
GUJARAT,"SURAT COMMR.",2002,18,36
HARYANA,JHAJJAR,2002,18,12
JHARKHAND,CHATRA,2002,18,1
KARNATAKA,CHICKMAGALUR,2002,18,9
KARNATAKA,KOLAR,2002,18,12
MAHARASHTRA,"AMRAVATI COMMR.",2002,18,10
ODISHA,JAJPUR,2002,18,22
ODISHA,KALAHANDI,2002,18,9
ODISHA,ROURKELA,2002,18,8
PUNJAB,PATIALA,2002,18,29
RAJASTHAN,TONK,2002,18,72
"UTTAR PRADESH",PRATAPGARH,2002,18,16
CHANDIGARH,CHANDIGARH,2002,18,47
CHANDIGARH,TOTAL,2002,18,47
"ANDHRA PRADESH","EAST GODAVARI",2003,18,35
BIHAR,AURANGABAD,2003,18,6
GUJARAT,"AHMEDABAD COMMR.",2003,18,96
"JAMMU & KASHMIR",BARAMULLA,2003,18,74
MANIPUR,TOTAL,2003,18,71
ODISHA,KALAHANDI,2003,18,9
"TAMIL NADU",DINDIGUL,2003,18,14
"UTTAR PRADESH",ETAH,2003,18,23
"UTTAR PRADESH",SULTANPUR,2003,18,19
CHANDIGARH,CHANDIGARH,2003,18,28
CHANDIGARH,TOTAL,2003,18,28
"ANDHRA PRADESH","VISAKHA RURAL",2004,18,12
ASSAM,HAILAKANDI,2004,18,25
BIHAR,AURANGABAD,2004,18,27
BIHAR,KHAGARIA,2004,18,10
HARYANA,KAITHAL,2004,18,9
JHARKHAND,CHATRA,2004,18,1
KERALA,PATHANAMTHITTA,2004,18,18
KERALA,"TRIVANDRUM COMMR.",2004,18,17
"MADHYA PRADESH",BURHANPUR,2004,18,2
NAGALAND,TOTAL,2004,18,4
RAJASTHAN,SIKAR,2004,18,39
"TAMIL NADU",CUDDALORE,2004,18,22
"TAMIL NADU",DINDIGUL,2004,18,18
"TAMIL NADU",VIRUDHUNAGAR,2004,18,23
