state,district,year,rape,kidnapping
CHHATTISGARH,RAIPUR,2012,111,14
"MADHYA PRADESH",BETUL,2004,110,15
"MADHYA PRADESH",SAGAR,2005,110,21
RAJASTHAN,UDAIPUR,2011,110,162
"MADHYA PRADESH",DHAR,2004,109,29
CHHATTISGARH,DURG,2008,109,12
CHHATTISGARH,DURG,2009,109,17
RAJASTHAN,UDAIPUR,2009,109,156
ASSAM,BARPETA,2010,109,155
"MADHYA PRADESH",JABALPUR,2001,108,20
TRIPURA,TOTAL,2002,108,48
"WEST BENGAL",NADIA,2003,108,59
"WEST BENGAL",NADIA,2004,108,80
"WEST BENGAL",JALPAIGURI,2005,108,48
CHHATTISGARH,DURG,2006,108,18
RAJASTHAN,BHARATPUR,2012,108,168
"ANDHRA PRADESH","WEST GODAVARI",2003,107,65
UTTARAKHAND,TOTAL,2003,107,134
"ANDHRA PRADESH",NELLORE,2004,107,55
"MADHYA PRADESH",JABALPUR,2011,107,27
MAHARASHTRA,"THANE COMMR.",2012,107,77
"MADHYA PRADESH",BHOPAL,2001,106,48
"WEST BENGAL",MURSHIDABAD,2003,106,84
DELHI,NORTH-EAST,2005,106,151
CHHATTISGARH,DURG,2010,106,35
"MADHYA PRADESH",BHOPAL,2010,106,59
ASSAM,NAGAON,2003,105,159
RAJASTHAN,ALWAR,2010,105,138
CHHATTISGARH,RAIPUR,2001,104,28
"MADHYA PRADESH",INDORE,2010,104,45
"MADHYA PRADESH",SHIVPURI,2012,104,22
DELHI,"NORTH WEST",2001,103,298
"MADHYA PRADESH",JABALPUR,2003,103,25
"MADHYA PRADESH",DHAR,2006,103,31
"MADHYA PRADESH",JABALPUR,2006,103,32
"WEST BENGAL",MALDA,2007,103,67
CHHATTISGARH,SARGUJA,2010,103,25
BIHAR,KATIHAR,2011,103,102
"MADHYA PRADESH",DHAR,2011,103,41
RAJASTHAN,PRATAPGARH,2011,103,77
MIZORAM,TOTAL,2012,103,3
TRIPURA,TOTAL,2001,102,35
"MADHYA PRADESH",JABALPUR,2004,102,26
JHARKHAND,RANCHI,2005,102,0
"MADHYA PRADESH",INDORE,2005,102,42
ODISHA,MAYURBHANJ,2005,102,37
"MADHYA PRADESH",INDORE,2007,102,35
"MADHYA PRADESH",SATNA,2008,102,15
"MADHYA PRADESH",CHHINDWARA,2010,102,14
"MADHYA PRADESH",DEWAS,2011,102,21
ODISHA,KEONJHAR,2012,102,70
BIHAR,ARARIA,2002,101,79
ASSAM,DHUBRI,2005,101,63
RAJASTHAN,ALWAR,2009,101,128
