Year,State, Population 
2012,NAGALAND,1998693
2012,MANIPUR,2852255
2012,MIZORAM,1095644
2012,TRIPURA,3670260
2012,MEGHALAYA,2961883
2012,ASSAM,31170976
2012,WEST BENGAL,91192365
2012,JHARKHAND,32942083
2012,ODISHA,41934314
2012,CHHATTISGARH,25509219
2012,MADHYA PRADESH,72534069
2012,GUJARAT,60365126
2012,DAMAN & DIU,242602
2012,DADRA & NAGAR HAVELI,342775
2012,MAHARASHTRA,112255984
2012,ANDHRA PRADESH,84513707
2012,KARNATAKA,61031954
2012,GOA,1457677
2012,LAKSHADWEEP,64444
2012,KERALA,33394186
2012,TAMIL NADU,72070998
2012,PUDUCHERRY,1245876
2012,ANDAMAN & NICOBAR ISLANDS,380397
